"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75872","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75872","54","21","-1","16","3997000","3","174","58.0","3.0","false"
"Tcp","4","75872","54","80","-1","16","107090000","5","1599","319.0","5.0","false"
"Tcp","4","75872","54","80","-1","16","107308000","5","1558","311.0","5.0","false"
"Tcp","4","75872","54","80","-1","16","111957000","20","5741","287.0","2.0","false"
"Http","4","75872","785","80","-1","24","18923000","6","2384","397.0","6.0","false"
"Http","4","75872","837","80","-1","24","70060000","7","3221","460.0","7.0","false"
"Http","4","75872","785","80","-1","24","102849000","6","2343","390.0","6.0","false"
"Tcp","4","75873","54","80","-1","16","199139000","7","2397","342.0","7.0","false"
"Icmp","4","75873","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75873","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75873","54","80","-1","16","2420628000","7","2441","348.0","3.5","false"
"Tcp","4","75873","54","80","-1","16","70000","9","3329","369.0","4.5","false"
"Tcp","4","75873","54","80","-1","16","62000","11","3437","312.0","5.5","false"
"Tcp","4","75874","54","80","-1","16","30000","13","3545","272.0","6.5","false"
"Icmp","4","75874","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75875","54","80","-1","16","4799193000","7","1955","279.0","0.7777777777777778","false"
