"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Tcp","4","75893","66","80","-1","16","85000","132","29632","224.0","18.857142857142858","true"
"Http","4","75893","726","80","-1","24","49000","134","30432","227.0","19.142857142857142","true"
"Tcp","4","75893","66","80","-1","16","64000","136","30564","224.0","19.428571428571427","true"
"Http","4","75893","726","80","-1","24","59000","138","31364","227.0","19.714285714285715","true"
"Tcp","4","75894","66","80","-1","16","81000","140","31496","224.0","20.0","true"
"Http","4","75894","726","80","-1","24","54000","142","32296","227.0","17.75","true"
"Tcp","4","75894","66","80","-1","16","72000","144","32428","225.0","18.0","true"
"Http","4","75894","726","80","-1","24","59000","146","33228","227.0","18.25","true"
"Tcp","4","75894","66","80","-1","16","50000","148","33360","225.0","18.5","true"
"Http","4","75894","726","80","-1","24","44000","150","34160","227.0","18.75","true"
"Tcp","4","75894","66","80","-1","16","74000","152","34292","225.0","19.0","true"
"Http","4","75894","726","80","-1","24","3501000","155","35158","226.0","19.375","true"
"Tcp","4","75894","66","80","-1","16","69000","156","35224","225.0","19.5","true"
"Http","4","75894","726","80","-1","24","74000","158","36024","228.0","19.75","true"
"Tcp","4","75895","66","80","-1","16","73000","160","36156","225.0","20.0","true"
"Http","4","75895","726","80","-1","24","56000","162","36956","228.0","18.0","true"
"Tcp","4","75895","66","80","-1","16","52000","164","37088","226.0","18.22222222222222","true"
"Http","4","75895","726","80","-1","24","68000","166","37888","228.0","18.444444444444443","true"
"Tcp","4","75895","66","80","-1","16","70000","168","38020","226.0","18.666666666666668","true"
"Http","4","75895","726","80","-1","24","3932000","171","38886","227.0","19.0","true"
"Tcp","4","75895","66","80","-1","16","64000","172","38952","226.0","19.11111111111111","true"
"Http","4","75895","726","80","-1","24","82000","174","39752","228.0","19.333333333333332","true"
"Tcp","4","75895","66","80","-1","16","46000","176","39884","226.0","19.555555555555557","true"
"Http","4","75895","726","80","-1","24","59000","178","40684","228.0","19.77777777777778","true"
"Tcp","4","75895","66","80","-1","16","60000","180","40816","226.0","20.0","true"
"Http","4","75896","726","80","-1","24","51000","182","41616","228.0","20.22222222222222","true"
"Tcp","4","75896","66","80","-1","16","45000","184","41748","226.0","18.4","true"
"Http","4","75896","726","80","-1","24","56000","186","42548","228.0","18.6","true"
"Tcp","4","75896","66","80","-1","16","71000","188","42680","227.0","18.8","true"
"Http","4","75896","726","80","-1","24","56000","190","43480","228.0","19.0","true"
"Tcp","4","75896","66","80","-1","16","62000","192","43612","227.0","19.2","true"
"Http","4","75896","726","80","-1","24","63000","194","44412","228.0","19.4","true"
"Tcp","4","75896","66","80","-1","16","58000","196","44544","227.0","19.6","true"
